,review,score,source
206,mega pixel camera part phone reasonably good,1,Amazon
207,ive nearly years worked great,1,Amazon
208,good transmit audio,1,Amazon
209,sending back,0,Amazon
210,bother contacting company dollar product learned lesson bought form online anyway,0,Amazon
211,hate earbugs avoid phone means,0,Amazon
212,great price also,1,Amazon
213,range decent ive able roam around house phone living room receptionsound quality issues,1,Amazon
214,fast service,1,Amazon
215,would highly recommend,1,Amazon
216,would recommend,1,Amazon
217,also didnt like button felt like would crack use,0,Amazon
218,worst phone ever,0,Amazon
219,im still infatuated phone,1,Amazon
220,freezes frequently,0,Amazon
221,kind embarrassing use looks mostly embarrassing childlike company,0,Amazon
222,simple lightweight great fit,1,Amazon
223,id expected better consumer experience motorola,0,Amazon
224,theres horrible tick sound background calls never experienced,0,Amazon
225,certainly comfortable functionality decent,1,Amazon
226,usually dont like headbands one lightweight doesnt mess hair,1,Amazon
227,im bit disappointed,0,Amazon
228,phone year tell great,0,Amazon
229,ordered sony ericsson wi think worked thats first used,0,Amazon
230,battery completely useless,0,Amazon
231,big waste time,0,Amazon
232,dont waste one,0,Amazon
233,great sound service,1,Amazon
234,really pleased product far,1,Amazon
235,one favorite purchases ever,1,Amazon
236,best bluetooth market,1,Amazon
237,authentic leather nice shine comfort recommend case,1,Amazon
238,excited get headset thought really cute,1,Amazon
239,make mistake,0,Amazon
240,big disappointment calendar sync,0,Amazon
241,phone unusable new,0,Amazon
242,worst customer service ever,0,Amazon
243,additional ear gels provided instructions whatsoever,0,Amazon
244,defeats purpose bluetooth headset,0,Amazon
245,worth every penny,1,Amazon
246,excellent wallet type phone case,1,Amazon
247,nice headphones price work great,1,Amazon
248,internet excrutiatingly slow,0,Amazon
249,comfortable wear well probably important aspect using case,1,Amazon
250,fits like glove strong secure durable,1,Amazon
251,gosh best phone ever,1,Amazon
252,attractive appears good quality,1,Amazon
253,love features form factor,1,Amazon
254,product strong rubberpetroleum smell unbearable caused return,0,Amazon
255,poor quality service,0,Amazon
256,cable looks thin flimsy scary,0,Amazon
257,great earpiece,1,Amazon
258,excellent hands free tool,1,Amazon
259,great using home stereo,1,Amazon
260,good product incredible value,1,Amazon
261,month worked flawlessly far,1,Amazon
262,works great,1,Amazon
263,absolutel junk,0,Amazon
264,one didnt work either,0,Amazon
265,battery life real good,1,Amazon
266,returned hours later,0,Amazon
267,great item,1,Amazon
268,dont waste money,0,Amazon
269,love headset,1,Amazon
270,drain player may also potentially fry,0,Amazon
271,worked perfectly,1,Amazon
272,unreliable im giving,0,Amazon
273,gave stars sound quality,1,Amazon
274,avoid one,0,Amazon
275,reversible plug works great,1,Amazon
276,wasted little money earpiece,0,Amazon
277,good phone,1,Amazon
278,best rotating feature helpful,1,Amazon
279,comfort whole family,1,Amazon
280,good product good seller,1,Amazon
281,love bluetooth,1,Amazon
282,first doesnt wear well,0,Amazon
283,impressed headset plantronics,1,Amazon
284,got small adorable,1,Amazon
285,great phone,1,Amazon
286,wouldnt recommend buying product,0,Amazon
287,piece junk,0,Amazon
288,poorly contstruct hinge,0,Amazon
289,item great installed let charged overnite working good every since problems,1,Amazon
290,great phone,1,Amazon
291,dont buy,0,Amazon
292,excellent phone,1,Amazon
293,purchase phone,0,Amazon
294,voice recognition thru handset excellent,1,Amazon
295,hands best phone ive ever,1,Amazon
296,works great cat attacked phone scratched protective strip instead destroying screen,1,Amazon
297,one works priced right,1,Amazon
298,customer service terrible,0,Amazon
299,battery life still long enough motorola razor vi,0,Amazon
300,sending back,0,Amazon
301,know made wise decision,1,Amazon
302,someone shouldve invented sooner,1,Amazon
303,good price,1,Amazon
304,everything worked first trythe device certainly engineered clever way construction feels good,1,Amazon
305,received quickly works great,1,Amazon
306,working great,1,Amazon
307,many people complained found headsets microphone weak,0,Amazon
308,year old nokia tracfone holds charge lot better,0,Amazon
309,care consumer one bit,0,Amazon
310,good battery got really fast,1,Amazon
311,instruction manual lacking,0,Amazon
312,also slim enough fit alarm clock docking station without removing case,1,Amazon
313,phone holds charge like new,1,Amazon
314,battery unreliable well service use antena,0,Amazon
315,uncomfortable sound quality quite poor compared phone razr previous wired headset plugged lg,0,Amazon
316,gotten lot compliments,1,Amazon
317,definitely must state allow cell phone usage driving,1,Amazon
318,want money back,0,Amazon
319,love device,1,Amazon
320,also happy price,1,Amazon
321,ordered product first unhappy immediately,0,Amazon
322,ngage still lacking earbuds,0,Amazon
323,able voice dialing car problem,1,Amazon
324,bars cell phone home cant hear anything,0,Amazon
325,good item low price,1,Amazon
326,howeverthe riingtones best neither games,0,Amazon
327,plug work well,0,Amazon
328,amazon sucks,0,Amazon
329,rip charge shipping,0,Amazon
330,comfortable,1,Amazon
331,battery working well replacement original came phone years ago,1,Amazon
332,reception excellent,1,Amazon
333,fits comfortably either ear sound clear loud charge lasts couple days,1,Amazon
334,clear quality sound dont mess sound ipod since sound buttons headset,1,Amazon
335,long lasting battery dont recharge frequentyly flip phones,0,Amazon
336,obviously problem adhesive,0,Amazon
337,disappointing,0,Amazon
338,inexpensive piece would still expected better quality,0,Amazon
339,practically useless add kind boost reception bought,0,Amazon
340,excellent sound quality,1,Amazon
341,happy,0,Amazon
342,piece junk broke phone days,0,Amazon
343,new battery works great phone,1,Amazon
344,worst customer service,0,Amazon
345,ive dropped phone times say even concrete phone still great knock wood,1,Amazon
346,reception terrible full static,0,Amazon
347,good audio quality,1,Amazon
348,little device transformed organizational capability made life whole lot easier,1,Amazon
349,sitting vehicle cradle belt headset lost signal,0,Amazon
350,jerks phone,0,Amazon
351,works like charm works advertised,1,Amazon
352,comfortable nice range good battery life,1,Amazon
353,network coverage los angeles horrible,0,Amazon
354,excellent starter wireless headset,0,Amazon
355,loudspeaker option great bumpers lights appealing,0,Amazon
356,thing think could improve sound leaks headset,0,Amazon
357,first reception sucks never bars ever,0,Amazon
358,phone gets extremely hot,0,Amazon
359,microphone also works well according people called applifies everything,1,Amazon
360,nice design quality,1,Amazon
361,also phone dropped case going save specially dropped face,0,Amazon
362,light easy use clear reception transmission,1,Amazon
363,bad fit way big,0,Amazon
364,definitely good,1,Amazon
365,awesome device,1,Amazon
366,waste money,0,Amazon
367,ordered motorola data cable got well finished working product,1,Amazon
368,love phone,1,Amazon
369,looking headset long time ive got couldnt happier,1,Amazon
370,ill drivng along headset starts ringing reason,0,Amazon
371,display excellent camera good year,1,Amazon
372,battery life also great,1,Amazon
373,worst phone ive ever months,0,Amazon
374,good item worked started problems auto reverse tape player,0,Amazon
375,embarassing also ears hurt try push ear plug ear,0,Amazon
376,protects phone sides,1,Amazon
377,average phone bad battery life operates weak network,0,Amazon
378,clear skype calls long battery life long range,1,Amazon
379,soyo technology sucks,0,Amazon
380,great hands free device,1,Amazon
381,even take self portraits outside exterior display cool,1,Amazon
382,problem others mentioned,0,Amazon
383,trying many many handsfree gadgets one finally works well,1,Amazon
384,magical help,1,Amazon
385,worst piece crap ever along verizon customer service,0,Amazon
386,poor sound quality,0,Amazon
387,best phone market,1,Amazon
388,worked well,1,Amazon
389,company shipped product promptly works well,1,Amazon
390,exactly wanted,1,Amazon
391,picture resolution far comparablypriced phones offering today,0,Amazon
392,great deal,1,Amazon
393,excellent product satisfied purchase,1,Amazon
394,highly recommend encourage people give try,1,Amazon
395,better youd expect,1,Amazon
396,using earpieces left right thing stay ear,0,Amazon
397,great product price,1,Amazon
398,sounds good reasonably priced effective simple,1,Amazon
399,still waiting im sure item would work well ever recieve,0,Amazon
400,disappointment,0,Amazon
401,prompt service,1,Amazon
402,excellent product price,1,Amazon
403,pleased headset,1,Amazon
404,dont waste money time,0,Amazon
405,especially love long battery life,1,Amazon
406,stupid keep buying new chargers car chargers cradles headphones car kits every time new phone comes,0,Amazon
407,works great,1,Amazon
408,plantronics bluetooth excelent buy,1,Amazon
409,came verizon cingulair nicer cell phones first thing noticed really bad service,0,Amazon
410,ill looking new earpiece,0,Amazon
411,highly recommend device everyone,1,Amazon
412,jawbone era awesome,1,Amazon
413,received white colored battery goes dead couple hoursthe original used last week still lasts longer thereplacement,0,Amazon
414,year battery went completely dead headset,0,Amazon
415,used several phone two years one best,1,Amazon
416,awesome new look fall,1,Amazon
417,first phone ive cheaply made,0,Amazon
418,att clear sound distorted yell talk,0,Amazon
419,plastic breaks really easy clip,0,Amazon
420,price good,1,Amazon
421,dont make mistake,0,Amazon
422,oh forgot also mention weird color effect phone,0,Amazon
423,im using iriver spinn case fits fine,1,Amazon
424,also area unit broke im fond magnetic strap,0,Amazon
425,overall psyched phone appointments contacts gets great reception,1,Amazon
426,every thing phone work perfectly like,1,Amazon
427,another note phones appearance really looks rather bland especially black model,0,Amazon
428,really easy,1,Amazon
429,sanyo survived dozens drops blacktop without ill effect,1,Amazon
430,fantastic earphones,1,Amazon
431,finds cell phone right away enter car,1,Amazon
432,low quality,0,Amazon
433,highly recommend modest priced cellular phone,1,Amazon
434,get better reception clarity phone ive,1,Amazon
435,warning stay away,0,Amazon
436,wish could return unit get back money,0,Amazon
437,awsome device works great,1,Amazon
438,used talk hours battery would literally drained dying,0,Amazon
439,dont find bad unit comes one earpad onlyi would recommend anyone,0,Amazon
440,displeased,0,Amazon
441,might gotten defect would risk buying built quality alone,0,Amazon
442,made case small difficult install,0,Amazon
443,restored phone like new performance,1,Amazon
444,would recommend purchasing jabra jx series works flawlessly moto q go figure,1,Amazon
445,searched internet found one best value,1,Amazon
446,fit,0,Amazon
447,happy product,1,Amazon
448,screen size big key pad lit well enough camera quality excellent camera phone,1,Amazon
449,theres really nothing bad say headset,0,Amazon
450,im glad found product amazon hard find wasnt high priced,1,Amazon
451,portable works,1,Amazon
452,colleague get great receptiona little expensive performance great,1,Amazon
453,even fully charged went bed turned blue tooth wifi noticed left morning,0,Amazon
454,ive also problems phone reading memory card always turn,0,Amazon
455,good wearing hat sunglasses,0,Amazon
456,timely shipment quality product,1,Amazon
457,nice solid keyboard,1,Amazon
458,well made fits surefire gx perfectly,1,Amazon
459,horrible phone,0,Amazon
460,bt battery junk,0,Amazon
461,would recommend others,1,Amazon
462,cant get software work computer,0,Amazon
463,disappointed,0,Amazon
464,poor voice clarity,0,Amazon
465,battery works great,1,Amazon
466,buyers remorse one,0,Amazon
467,disappointed accessoryone,0,Amazon
468,find inexcusable probably returning phone perhaps changing carriers,0,Amazon
469,looks great strong,1,Amazon
470,tmobile service years pretty happy,1,Amazon
471,update procedure difficult cumbersome,0,Amazon
472,disappointment hate anything goes ear,0,Amazon
473,great software motorolas,1,Amazon
474,delivery time,1,Amazon
475,easy use,1,Amazon
476,uncomfortable ear dont use lg vx env,0,Amazon
477,volume switch rocketed unit destination unknown,0,Amazon
478,holds charge long time reasonably comfortable longwearing conditions quality sound tremendous,1,Amazon
479,id like return,0,Amazon
480,keyboard really worthwhile usefulness sturdy enough dont expect problems,1,Amazon
481,verizons bills however difficult understand even though pricing plans simple,0,Amazon
482,charging overnight batteries work great,1,Amazon
483,wont regret,1,Amazon
484,love phone,1,Amazon
485,disappointment,0,Amazon
486,user friendly,0,Amazon
487,unfortunately ability actually know receiving call rather important feature phone pitiful respect,0,Amazon
488,exchanged phone even problem,0,Amazon
489,results phone either stuck max volume mute,0,Amazon
490,pda rocks,1,Amazon
491,super charged use small hybrid palmtopcameracellphone excels roles,1,Amazon
492,would definitely recommend jabra btv looking comfort clarity great price,1,Amazon
493,verizon years ago really liked service,1,Amazon
494,pretty piece junk,0,Amazon
495,plug wrong size,0,Amazon
496,works described,1,Amazon
497,save money ive item months,0,Amazon
498,bad purchase,0,Amazon
499,well im satisfied,1,Amazon
500,bose noise cancelling amazing important nyc commuter,1,Amazon
501,battery excellent bargain,1,Amazon
502,defective crap,0,Amazon
503,would given star able,0,Amazon
504,wear glasses fits fine,1,Amazon
505,sound quality device unacceptableunless really quiet area almost hear nothing,0,Amazon
506,would recommend item anyone,0,Amazon
507,holster arrived match photo ad,0,Amazon
508,greatno problems,1,Amazon
509,earlier review noted plug charger nothing happens,0,Amazon
510,frog phone charm adorable eye catching,1,Amazon
511,never know pushed hard enough right number times function want,0,Amazon
512,sound clear people talk amazed quality,1,Amazon
513,got aluminum case new palm vx worked really wellit protected handheld perfectly far,1,Amazon
514,good product well made,1,Amazon
515,mobile phone tools must,1,Amazon
516,impressed job motorola sturdiness phone,1,Amazon
517,received orders well within shipping timeframe everything good working order overall excited source,1,Amazon
518,phone sturdy waterproof,1,Amazon
519,impressed would recommend item anyone,0,Amazon
520,complaint standard sound volume little low even turned,0,Amazon
521,thanks amazon things need good price,1,Amazon
522,ended sliding edge pants back pockets instead,1,Amazon
523,go store bought new nokia phone working great,1,Amazon
524,works great,1,Amazon
525,really ugly,0,Amazon
526,horrible switch times,0,Amazon
527,noise shield incrediable,1,Amazon
528,real improvement,0,Amazon
529,razr battery good buy,1,Amazon
530,keep good work amazon,1,Amazon
531,refuse refund replace,0,Amazon
532,unfortunately easy accidentally activate gentletouch buttons accidentally touch phone face listening,0,Amazon
533,basically threw money window nothing,0,Amazon
534,great case price,1,Amazon
535,took one drop inches kitchen counter crackedi impressed laughing,0,Amazon
536,bluetooth range good days ago left phone trunk got call carried conversation without hitch,1,Amazon
537,small sleek impressive looking practical setup ample storage place,1,Amazon
538,eargels channel sound directly ear seem increase sound volume clarity,1,Amazon
539,none new ones ever quite worked properly,0,Amazon
540,glad purchased,1,Amazon
541,ive missed numerous calls reason,0,Amazon
542,perhaps phone defective people cannot hear use,0,Amazon
543,dont buy product,0,Amazon
544,sucked stuff work phone,0,Amazon
545,shifting bubbling peeling even scratch nothingi couldnt happier new one droid,1,Amazon
546,worst software ever used could give zero stars would,0,Amazon
547,trying make call exercise frustration,0,Amazon
548,case flimsy piece plastic front side protection whatsoever,0,Amazon
549,jabra earset happy sound quality especially outgoing better,1,Amazon
550,love camera really pretty good quality,1,Amazon
551,thank great service,1,Amazon
552,total package,1,Amazon
553,seller understanding patient would definitely buy,1,Amazon
554,give wirefly stari contact cingularatt inform practice,0,Amazon
555,aggravating,0,Amazon
556,great product price,1,Amazon
557,purchased family friends enjoy clarity ease use,1,Amazon
558,virgin wireless rocks cheap little phone,1,Amazon
559,none works dont buy,0,Amazon
560,muddy low quality sound casing around wires insert poorly super glued slid,0,Amazon
561,please dont waste money,0,Amazon
562,im quite satisfied purchase,1,Amazon
563,looking good quality motorola headset keep looking isnt,0,Amazon
564,yet plantronincs continues use flawed charger design,0,Amazon
565,disapointing results,0,Amazon
566,cumbersome design,0,Amazon
567,great new packaged nice works good problems came less time expected,1,Amazon
568,great product,1,Amazon
569,piece crap,0,Amazon
570,experience terrible fourth bluetooth headset much comfortable last jabra hated,0,Amazon
571,fixes problems,1,Amazon
572,worst ever,0,Amazon
573,happy,1,Amazon
574,ive trouble accessing internet downloading ringtones performing functions,1,Amazon
575,barely ever hear constantly saying,0,Amazon
576,battery life highly unacceptable,0,Amazon
577,company joke,0,Amazon
578,everything description said would,1,Amazon
579,due happening every call forced stop using headset,0,Amazon
580,works great car charger especially cannot plug two adapters time,1,Amazon
581,verizon tech support walked procedures none worked ended hard reset wiping data,0,Amazon
582,voice quality signal strength dropped calls,0,Amazon
583,plays louder speaker size price low would think quality lacking however,1,Amazon
584,better expected,1,Amazon
585,feels poorly constructed menus difficult navigate buttons recessed difficult push,0,Amazon
586,battery holding well,1,Amazon
587,also difficult put onid recommend avoiding product,0,Amazon
588,used two days wasnt always easy hear,0,Amazon
589,got car charger even week charger brokeni went plug started smoking,0,Amazon
590,sprint terrible customer service,0,Amazon
591,linked phone without effort,1,Amazon
592,cool,1,Amazon
593,easy use,1,Amazon
594,better new,1,Amazon
595,possesed get junk idea,0,Amazon
596,piece trash,0,Amazon
597,pretty good product,1,Amazon
598,great phone,1,Amazon
599,price amazon excellent product would highly recommend,1,Amazon
600,research development division obviously knows theyre,1,Amazon
601,real killer volume course breaking,0,Amazon
602,phones working fine,1,Amazon
603,happy product,1,Amazon
604,poor construction,0,Amazon
605,infuriating,0,Amazon
606,overall would recommend phone new walkman,1,Amazon
607,sprint charges service,0,Amazon
608,cheap feel look cheap,0,Amazon
609,fits ear well comfortable,1,Amazon
610,doesnt work europe asia,0,Amazon
611,clipping belt deffinitely make feel like cents upandcoming,1,Amazon
612,like design look jabra behing ear headsets pretty comfortible wear hours day without pain ear,1,Amazon
613,amazed quick arrival two original lg cell phone batteries fraction price,1,Amazon
614,worst phone samsungcrap crappy samsung e worst ever seeen,0,Amazon
615,charger worked week completely stopped charging phone,0,Amazon
616,poor product,0,Amazon
617,however needed better instructions,0,Amazon
618,need two hands operate screenthis software interface decade old cannot compete new software designs,0,Amazon
619,worked well paired treo w skype headset pc using usb bluetooth transceiver,1,Amazon
620,steer clear product go genuine palm replacementr pens come threepack,0,Amazon
621,buy buyit sucks,0,Amazon
622,great product sure beats using fingers,1,Amazon
623,plus seriously believe worth steep price point,0,Amazon
624,cases ive tried normally fall apart months one seems long haul,1,Amazon
625,dissapointing performance,0,Amazon
626,dont make mistake please dont buy phone,0,Amazon
627,phone might well worst ive ever brand,0,Amazon
628,case less extra originally put later discarded scratched ear,0,Amazon
629,recommend igo anyone different brand cell phonesmp players family,1,Amazon
630,dont bother go store,0,Amazon
631,posted detailed comments grey black phone fire red great color,1,Amazon
632,problem item would order needed,1,Amazon
633,get pay guess,0,Amazon
634,software great job could also make ringtones form existing cds without internet connection,1,Amazon
635,im surprised good quality car charger theres much reviews,1,Amazon
636,fabulous,1,Amazon
637,however bt headsets currently good real time games like firstperson shooters since audio delay messes,0,Amazon
638,used bitpim free program find internetto transfer data phonethe price cable excellent,1,Amazon
639,disappointing accessory good manufacturer,0,Amazon
640,performed awful muffled tinny incoming sound severe echo end call,0,Amazon
641,windresistant,1,Amazon
642,obviously terrible customer service get pay,0,Amazon
643,last forever overly expensive replaceeasy operate sound much better others tried,1,Amazon
644,contacted company told although unit still warranty couldnt produce receipt luck,0,Amazon
645,linksys way exchange bad phone refurb unit something,0,Amazon
646,phone sturdy nokia bar phones,1,Amazon
647,great phone,1,Amazon
648,placed treo case snug lot extra room sides,0,Amazon
649,im pleased,1,Amazon
650,battery terrible,0,Amazon
651,found product easy set use,1,Amazon
652,earpiece large heavyit keeps falling ear,0,Amazon
653,utter crap sound quality terrible,0,Amazon
654,charger arrived within promised timeframe work,0,Amazon
655,ear loop needed tiny sound great,1,Amazon
656,finally three four times spring latch broke could use longer visor,0,Amazon
657,handsfree part works fine car tries download address book treo rebootsoverall still rate device high,1,Amazon
658,talk useless customer service,0,Amazon
659,felt light tinny,0,Amazon
660,fit palm tungsten e broke first time tried plug,0,Amazon
661,im happy purchase good quality low price,1,Amazon
662,love look feel samsung flipphones,1,Amazon
663,welldesigned sharp blue nice color,1,Amazon
664,everything,1,Amazon
665,could recommend,0,Amazon
666,nice sound,1,Amazon
667,looks good picture case huge disappointment,0,Amazon
668,much less jawbone going replace,1,Amazon
669,setup went smoothly,1,Amazon
670,extremely slow takes forever anything,0,Amazon
671,must study anyone interested worst sins industrial design,0,Amazon
672,first thing happened tracking,0,Amazon
673,well made easy access phone handy detachable belt clip,1,Amazon
674,continue pairing periodically since somehow kept dropping,0,Amazon
675,cant upload ringtones third party,0,Amazon
676,bluetooth work phone locks screens flash makes calls randomly pocket locked,0,Amazon
677,truly awful,0,Amazon
678,works fine motorola cellphone lot better wornout battery,1,Amazon
679,volume ringer real good choices loud,1,Amazon
680,none tones acceptable,0,Amazon
681,camera color balance awful,0,Amazon
